age
42
42
38
48
38
39
42
42
41
43
38
47
39
39
44
39
43
45
41
41
44
38
43
43
42
43
40
40
44
42
38
43
42
42
40
42
45
42
43
45
46
43
38
45
44
38
45
40
44
39
48
43
40
43
38
48
39
38
40
40
41
43
42
40
46
47
48
39
45
42
40
49
40
40
40
39
41
46
45
43
38
48
43
46
46
41
42
47
40
48
43
38
45
45
44
43
45
42
43
43
44
46
47
41
41
39
39
41
44
48
38
39
46
39
44
40
47
45
39
41
41
40
39
42
42
40
44
42
42
47
42
40
46
38
40
43
39
41
45
